time,price,volume
1577623174000,6.07,null
1577623213000,6.07,null
1577623244000,6.07,null
1577623276000,6.07,null
1577623307000,6.09,null
1577623338000,6.1,null
1577623370000,6.09,null
1577623401000,6.09,null
1577623432000,6.09,null
1577623464000,6.1,null
1577623496000,6.1,null
1577623527000,6.1,null
1577623559000,6.1,null
1577623590000,6.08,null
1577623622000,6.08,null
1577623653000,6.07,null
1577623685000,6.07,null
1577623716000,6.1,null
1577623747000,6.1,null
1577623779000,6.1,null
1577623811000,6.1,null
1577623842000,6.1,null
1577623873000,6.1,null
1577623929000,6.07,null
1577623961000,6.07,null
1577623992000,6.07,null
1577624024000,6.07,null
1577624055000,6.07,null
1577624086000,6.07,null
1577624156000,6.07,null
1577624187000,6.07,null
1577624220000,6.08,null
1577624258000,6.07,null
1577624316000,6.07,null
1577624357000,6.08,null
1577624388000,6.08,null
1577624419000,6.08,null
1577624454000,6.08,null
1577624486000,6.08,null
1577624517000,6.08,null
1577624549000,6.08,null
1577624638000,6.07,null
1577624694000,6.07,null
1577624725000,6.07,null
1577624757000,6.08,null
1577624788000,6.08,null
1577624819000,6.07,null
1577624851000,6.07,null
1577624943000,6.07,null
1577625053000,6.08,null
1577625084000,6.08,null
1577625194000,6.08,null
1577625292000,6.05,null
1577625355000,6.05,null
1577625386000,6.07,null
